2.177734375000000000e-01 2.242982387542724609e+00 3.491210937500000000e-01 2.200968742370605469e+00 1.000228595733642578e+01
3.168945312500000000e-01 2.137045860290527344e+00 4.814453125000000000e-01 2.056288242340087891e+00 6.614038944244384766e-01
3.847656250000000000e-01 1.977013349533081055e+00 5.444335937500000000e-01 1.875755310058593750e+00 8.359191417694091797e-01
4.760742187500000000e-01 1.796534061431884766e+00 6.318359375000000000e-01 1.673213005065917969e+00 8.494048118591308594e-01
4.965820312500000000e-01 1.662368178367614746e+00 6.962890625000000000e-01 1.469714403152465820e+00 5.980384349822998047e-01
5.634765625000000000e-01 1.479922533035278320e+00 7.343750000000000000e-01 1.284408807754516602e+00 8.448300361633300781e-01
5.903320312500000000e-01 1.360779762268066406e+00 7.661132812500000000e-01 1.108946442604064941e+00 8.201928138732910156e-01
6.108398437500000000e-01 1.236842632293701172e+00 7.836914062500000000e-01 9.580690860748291016e-01 5.463132858276367188e-01
6.538085937500000000e-01 1.105208635330200195e+00 7.998046875000000000e-01 8.432209491729736328e-01 8.465633392333984375e-01
6.640625000000000000e-01 1.057417631149291992e+00 8.110351562500000000e-01 7.534304857254028320e-01 8.474407196044921875e-01
6.967773437500000000e-01 9.697868227958679199e-01 8.251953125000000000e-01 6.804803013801574707e-01 8.534874916076660156e-01
7.060546875000000000e-01 9.191631078720092773e-01 8.349609375000000000e-01 6.228702068328857422e-01 8.537406921386718750e-01
7.221679687500000000e-01 8.458306789398193359e-01 8.476562500000000000e-01 5.749576091766357422e-01 8.530583381652832031e-01
7.416992187500000000e-01 7.958335876464843750e-01 8.500976562500000000e-01 5.358700752258300781e-01 8.177468776702880859e-01
7.675781250000000000e-01 7.286947369575500488e-01 8.627929687500000000e-01 5.045311450958251953e-01 6.395804882049560547e-01
7.714843750000000000e-01 7.034667730331420898e-01 8.681640625000000000e-01 4.760056138038635254e-01 6.516954898834228516e-01
